entry_index,page,number,source_headword,pronunciation,variant,audio
850,34,25,insulation,insulation,1,p34_25_insulation.mp3
851,35,1,waterfall,waterfall,1,p35_01_waterfall.mp3
852,35,2,drink,drink,1,p35_02_drink.mp3
853,35,3,cigar,cigar,1,p35_03_cigar.mp3
854,35,4,different,different,1,p35_04_different.mp3
855,35,5,piano,piano,1,p35_05_piano.mp3
856,35,6,temperature,temperature,1,p35_06_temperature.mp3
857,35,7,assess,assess,1,p35_07_assess.mp3
858,35,8,escape,escape,1,p35_08_escape.mp3
859,35,9,cave,cave,1,p35_09_cave.mp3
860,35,10,chocolate,chocolate,1,p35_10_chocolate.mp3
861,35,11,statistic,statistic,1,p35_11_statistic.mp3
862,35,12,English,English,1,p35_12_english.mp3
863,35,13,pet,pet,1,p35_13_pet.mp3
864,35,14,embassy,embassy,1,p35_14_embassy.mp3
865,35,15,online,online,1,p35_15_online.mp3
866,35,16,new,new,1,p35_16_new.mp3
867,35,17,park,park,1,p35_17_park.mp3
868,35,18,rose,rose,1,p35_18_rose.mp3
869,35,19,horses,horses,1,p35_19_horses.mp3
870,35,20,biology,biology,1,p35_20_biology.mp3
871,35,21,activated,activated,1,p35_21_activated.mp3
872,35,22,kitchen,kitchen,1,p35_22_kitchen.mp3
873,35,23,village,village,1,p35_23_village.mp3
874,35,24,impact,impact,1,p35_24_impact.mp3
875,35,25,delay,delay,1,p35_25_delay.mp3
876,36,1,resources,resources,1,p36_01_resources.mp3
877,36,2,information,information,1,p36_02_information.mp3
878,36,3,problems,problems,1,p36_03_problems.mp3
879,36,4,shelter,shelter,1,p36_04_shelter.mp3
880,36,5,cheese,cheese,1,p36_05_cheese.mp3
881,36,6,baby,baby,1,p36_06_baby.mp3
882,36,7,percent,percent,1,p36_07_percent.mp3
883,36,8,viewing,viewing,1,p36_08_viewing.mp3
884,36,9,common,common,1,p36_09_common.mp3
885,36,10,cycling,cycling,1,p36_10_cycling.mp3
886,36,11,minerals,minerals,1,p36_11_minerals.mp3
887,36,12,avenue,avenue,1,p36_12_avenue.mp3
888,36,13,fifth,fifth,1,p36_13_fifth.mp3
889,36,14,pianist,pianist,1,p36_14_pianist.mp3
890,36,15,media,media,1,p36_15_media.mp3
891,36,16,player,player,1,p36_16_player.mp3
892,36,17,lesson,lesson,1,p36_17_lesson.mp3
893,36,18,Christmas,Christmas,1,p36_18_christmas.mp3
894,36,19,table,table,1,p36_19_table.mp3
895,36,20,wealth,wealth,1,p36_20_wealth.mp3
896,36,21,taste,taste,1,p36_21_taste.mp3
897,36,22,surface,surface,1,p36_22_surface.mp3
898,36,23,bitterness,bitterness,1,p36_23_bitterness.mp3
899,36,24,urban,urban,1,p36_24_urban.mp3
900,36,25,seafood,seafood,1,p36_25_seafood.mp3
901,37,1,waist,waist,1,p37_01_waist.mp3
902,37,2,aunt,aunt,1,p37_02_aunt.mp3
903,37,3,head,head,1,p37_03_head.mp3
904,37,4,fat,fat,1,p37_04_fat.mp3
905,37,5,colony,colony,1,p37_05_colony.mp3
906,37,6,electrician,electrician,1,p37_06_electrician.mp3
907,37,7,climate,climate,1,p37_07_climate.mp3
908,37,8,cloudy,cloudy,1,p37_08_cloudy.mp3
909,37,9,steam,steam,1,p37_09_steam.mp3
910,37,10,police,police,1,p37_10_police.mp3
911,37,11,perfume,perfume,1,p37_11_perfume.mp3
912,37,12,dust,dust,1,p37_12_dust.mp3
913,37,13,tube,tube,1,p37_13_tube.mp3
914,37,14,spices,spices,1,p37_14_spices.mp3
915,37,15,diameter/diametre,diameter,1,p37_15a_diameter.mp3
915,37,15,diameter/diametre,diametre,2,p37_15b_diametre.mp3
916,37,16,shirts,shirts,1,p37_16_shirts.mp3
917,37,17,discount,discount,1,p37_17_discount.mp3
918,37,18,fridge,fridge,1,p37_18_fridge.mp3
919,37,19,settlement,settlement,1,p37_19_settlement.mp3
920,37,20,golden,golden,1,p37_20_golden.mp3
921,37,21,atlas,atlas,1,p37_21_atlas.mp3
922,37,22,boots,boots,1,p37_22_boots.mp3
923,37,23,recovery,recovery,1,p37_23_recovery.mp3
924,37,24,handbag,handbag,1,p37_24_handbag.mp3
925,37,25,cheap,cheap,1,p37_25_cheap.mp3
926,38,1,hotels,hotels,1,p38_01_hotels.mp3
927,38,2,destinations,destinations,1,p38_02_destinations.mp3
928,38,3,fit,fit,1,p38_03_fit.mp3
929,38,4,evidence,evidence,1,p38_04_evidence.mp3
930,38,5,identity,identity,1,p38_05_identity.mp3
931,38,6,moon,moon,1,p38_06_moon.mp3
932,38,7,quiz,quiz,1,p38_07_quiz.mp3
933,38,8,feathers,feathers,1,p38_08_feathers.mp3
934,38,9,mud,mud,1,p38_09_mud.mp3
935,38,10,fluent,fluent,1,p38_10_fluent.mp3
936,38,11,collect,collect,1,p38_11_collect.mp3
937,38,12,record,record,1,p38_12_record.mp3
938,38,13,bilingual,bilingual,1,p38_13_bilingual.mp3
939,38,14,thousands,thousands,1,p38_14_thousands.mp3
940,38,15,grammar,grammar,1,p38_15_grammar.mp3
941,38,16,shape,shape,1,p38_16_shape.mp3
942,38,17,picture,picture,1,p38_17_picture.mp3
943,38,18,full,full,1,p38_18_full.mp3
944,38,19,playground,playground,1,p38_19_playground.mp3
945,38,20,identification,identification,1,p38_20_identification.mp3
946,38,21,neck,neck,1,p38_21_neck.mp3
947,38,22,puzzle,puzzle,1,p38_22_puzzle.mp3
948,38,23,anxiety,anxiety,1,p38_23_anxiety.mp3
949,38,24,spoons,spoons,1,p38_24_spoons.mp3
950,38,25,life,life,1,p38_25_life.mp3
951,39,1,health,health,1,p39_01_health.mp3
952,39,2,weapons,weapons,1,p39_02_weapons.mp3
953,39,3,storage,storage,1,p39_03_storage.mp3
954,39,4,tourism,tourism,1,p39_04_tourism.mp3
955,39,5,convenient,convenient,1,p39_05_convenient.mp3
956,39,6,shower,shower,1,p39_06_shower.mp3
957,39,7,free,free,1,p39_07_free.mp3
958,39,8,entry,entry,1,p39_08_entry.mp3
959,39,9,self-employed,self-employed,1,p39_09_self-employed.mp3
960,39,10,tailor,tailor,1,p39_10_tailor.mp3
961,39,11,marble,marble,1,p39_11_marble.mp3
962,39,12,joining,joining,1,p39_12_joining.mp3
963,39,13,model,model,1,p39_13_model.mp3
964,39,14,material,material,1,p39_14_material.mp3
965,39,15,grant,grant,1,p39_15_grant.mp3
966,39,16,cameras,cameras,1,p39_16_cameras.mp3
967,39,17,gene,gene,1,p39_17_gene.mp3
968,39,18,power,power,1,p39_18_power.mp3
969,39,19,hairdresser,hairdresser,1,p39_19_hairdresser.mp3
970,39,20,erosion,erosion,1,p39_20_erosion.mp3
971,39,21,islands,islands,1,p39_21_islands.mp3
972,39,22,eyes,eyes,1,p39_22_eyes.mp3
973,39,23,wine,wine,1,p39_23_wine.mp3
974,39,24,lighting,lighting,1,p39_24_lighting.mp3
975,39,25,method,method,1,p39_25_method.mp3
976,40,1,expansion,expansion,1,p40_01_expansion.mp3
977,40,2,cabins,cabins,1,p40_02_cabins.mp3
978,40,3,crow,crow,1,p40_03_crow.mp3
979,40,4,cliffs,cliffs,1,p40_04_cliffs.mp3
